Time 1,Monday,Tuesday,Wednesday,Time 2,Thursday,Friday,Time 1_dup
,,,,,,,
1A (Ms. Debby and Ms. Destha),,,,,,,
Time 1,Monday,Tuesday,Wednesday,Time 2,Thursday,Friday,
07.45-08.00,PC Session,PC Session,PC Session,07.45-08.20,UoI,PC Session,07.45-08.00
08.00-08.35,Assembly,Mandarin,PSPE,08.20-08.55,English B,Math,08.00-08.35
08.35-09.10,UoI,Mandarin,PSPE,08.55-09.30,English B,Math,08.35-09.10
09.10-09.35,Break,Break,Break,09.30-09.45,Break,Break,09.10-09.35
09.35-10.10,UoI,BI,Library,09.45-10.20,Singing/Music,UoI,09.35-10.10
10.10-10.45,English A,VA,Math,10.20-10.55,BI,UoI,10.10-10.45
10.45-11.20,English A,BI,Math,10.55-11.30,BI,UoI,10.45-11.20
11.20-11.50,Break,Break,Break,11.30-11.50,Break,Break,11.20-11.50
11.50-12.25,IT,SEL,Reacter,11.50-12.25,Math,English B,11.50-12.25
12.25-13.00,IT,P.Pancasila,Reacter,12.25-13.25,Excur,English B,12.25-13.00
13.00-13.10,Preparation,Preparation,Preparation,13.25-13.30,Preparation,Preparation,13.00-13.10
,,,,,,,
1B (Ms. Hermin and Ms. Jenny P),,,,,,,
Time 1,Monday,Tuesday,Wednesday,Time 2,Thursday,Friday,
07.45-08.00,PC Session,PC Session,PC Session,07.45-08.20,Math,PC Session,07.45-08.00
08.00-08.35,Assembly,English B,Reacter,08.20-08.55,Math,IT,08.00-08.35
08.35-09.10,English A,English B,Reacter,08.55-09.30,BI,IT,08.35-09.10
09.10-09.35,Break,Break,Break,09.30-09.45,Break,Break,09.10-09.35
09.35-10.10,English A,Mandarin,Math,09.45-10.20,BI,UoI,09.35-10.10
10.10-10.45,UoI,Mandarin,PSPE,10.20-10.55,Singing/Music,UoI,10.10-10.45
10.45-11.20,UoI,BI,PSPE,10.55-11.30,English B,UoI,10.45-11.20
11.20-11.50,Break,Break,Break,11.30-11.50,Break,Break,11.20-11.50
11.50-12.25,VA,BI,Library,11.50-12.25,English B,Math,11.50-12.25
